OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,ZipCode,CouncilDistrictCode,Neighborhood,Latitude,Longitude,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),DefaultData,ComplianceStatus,Outlier,BuildingAge,ParkingRatio,BuildingAreaRatio,EnergyUsePerArea,ElectricityIntensity,LargestUseRatio,GHGPerArea,LatitudeBand
24795,2016,Multifamily MR (5-9),Mid-Rise Multifamily,98102.0,3,EAST,47.62229,-122.32764,1.0,6,51568,0,51568,Multifamily Housing,Multifamily Housing,,,,,70.0,30.60000038,32.5,80.69999695,84.40000153,1578270.375,1674297.875,0.0,False,Compliant,,49,0.0,1.0,30.60561540102389,30.60561540102389,1.0,0.0005536379149860378,47.6
24796,2016,Multifamily LR (1-4),Low-Rise Multifamily,98102.0,3,EAST,47.62915,-122.32058,1.0,4,21312,0,21312,Multifamily Housing,Multifamily Housing,,,,,,19.79999924,21.39999962,62.09999847,67.09999847,421741.5938,455449.3125,0.0,False,Compliant,,30,0.0,1.0,19.788926135510508,19.788926135510508,1.0,0.00013795045045045045,47.6
24805,2016,Multifamily MR (5-9),Mid-Rise Multifamily,98103.0,6,LAKE UNION,47.66209,-122.3575,1.0,6,29840,0,29840,Multifamily Housing,Multifamily Housing,,,,,89.0,22.79999924,24.60000038,71.5,77.30000305,679574.875,734283.625,0.0,False,Compliant,,49,0.0,1.0,22.77395693699732,22.77395693699732,1.0,0.00015884718498659518,47.7
24822,2016,NonResidential,Small- and Mid-Sized Office,98134.0,2,GREATER DUWAMISH,47.58462,-122.3347,0.0,3,49052,0,49052,"Office, Retail Store",Office,Retail Store,10057.0,,,96.0,34.0,34.0,106.5999985,106.5999985,1441445.625,1441445.625,0.0,False,Compliant,,106,0.0,1.0,29.38607243333605,29.38607243333605,0.6603808203539101,0.00020488461224822639,47.6
24823,2016,NonResidential,Warehouse,98134.0,2,GREATER DUWAMISH,47.58318,-122.3347,1.0,2,52110,0,52110,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,,,,,34.0,18.29999924,21.0,27.70000076,30.5,586589.1875,671037.375,0.0,False,Compliant,,116,0.0,1.0,11.256748944540396,11.256748944540396,0.6140855881788524,0.00048263289195931683,47.6
24825,2016,NonResidential,Small- and Mid-Sized Office,98104.0,2,GREATER DUWAMISH,47.58292,-122.33468,1.0,2,20970,0,20970,"Office, Parking",Office,Parking,0.0,,,100.0,9.800000191,11.10000038,22.0,23.39999962,204499.0938,233531.9063,0.0,False,Non-Compliant,Low outlier,106,0.0,1.0,9.751983490701,9.751983490701,1.0,0.0002589413447782546,47.6
24830,2016,NonResidential,Small- and Mid-Sized Office,98134.0,2,GREATER DUWAMISH,47.57595,-122.33624,1.0,2,39036,0,39036,"Office, Other",Office,Other,13611.0,,,,37.09999847,39.59999847,84.90000153,87.0,1528295.75,1633524.125,0.0,False,Compliant,,79,0.0,1.0,39.15093119172046,39.15093119172046,0.7079618813403012,0.0010054821190695767,47.6
24840,2016,NonResidential,Small- and Mid-Sized Office,98134.0,2,GREATER DUWAMISH,47.57529,-122.33475,1.0,1,26310,0,26310,"Non-Refrigerated Warehouse, Office, Social/Meeting Hall",Office,Non-Refrigerated Warehouse,8874.0,Social/Meeting Hall,1000.0,96.0,22.79999924,24.79999924,58.70000076,60.79999924,771512.6875,841208.1875,0.0,False,Compliant,,93,0.0,1.0,29.323933390345875,29.323933390345875,0.9122006841505131,0.0005697453439756746,47.6
24846,2016,Multifamily MR (5-9),Mid-Rise Multifamily,98116.0,1,SOUTHWEST,47.56445,-122.38712,1.0,6,20078,0,20078,Multifamily Housing,Multifamily Housing,,,,,3.0,47.40000153,47.40000153,148.8999939,148.8999939,952315.8125,952315.8125,0.0,False,Compliant,,20,0.0,1.0,47.43081046418966,47.43081046418966,1.0,0.00033071023010259985,47.6
24850,2016,Multifamily MR (5-9),Mid-Rise Multifamily,98105.0,4,NORTHEAST,47.66391,-122.31495,1.0,6,29866,0,29866,"Multifamily Housing, Office",Multifamily Housing,Office,2213.0,,,,20.70000076,21.39999962,65.09999847,67.30000305,618876.1875,640366.8125,0.0,False,Compliant,,16,0.0,1.0,20.721763460121878,20.721763460121878,0.9259023638920512,0.0001443112569476997,47.7
